catalog,variant,fn,severity_label,severity_value,t_d,decision,hard_override_fired,a_score,i_score,a2_score,i1_score,i2_score,mc,b,b_se,n_geq_mc,recurrence_years,n_total,b_abs_error,recurrence_abs_pct_error
nz,clean_original,none,none,0.0,0.3952358639934734,CONDITIONAL,False,0.2729088173514837,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
nz,coordinate_jitter_low,coordinate_jitter,low,0.2,0.363809331632372,CONDITIONAL,False,0.2264788059384786,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
nz,coordinate_jitter_med,coordinate_jitter,med,0.45,0.3649539612657667,CONDITIONAL,False,0.2277675439664337,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
nz,coordinate_jitter_high,coordinate_jitter,high,0.8,0.370843672822305,CONDITIONAL,False,0.2334283278932687,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
nz,inject_duplicates_low,inject_duplicates,low,0.2,0.3667520943862798,CONDITIONAL,False,0.2736089538537652,0.2197450813414585,1.0,0.0,0.668196830575857,1.93845009,0.6499856749662646,0.0049254780907924,14393,0.0303018242820468,26223,0.023563620518207,4.430508386033994
nz,inject_duplicates_med,inject_duplicates,med,0.45,0.3565523768963018,CONDITIONAL,False,0.2840119839389484,0.1916490941786053,1.0,0.0,0.5654883585779797,1.83845009,0.627343391998731,0.0040883883721929,18093,0.0225362210829822,29320,0.0009213375506734,28.922589882595997
nz,inject_duplicates_high,inject_duplicates,high,0.8,0.3299060353485254,CONDITIONAL,False,0.263397787880329,0.2122211091834676,1.0,0.0,0.6406491879326579,1.93845009,0.6541017395323093,0.0043587094295399,18511,0.0244854348714364,33656,0.0276796850842517,22.77492797697687
nz,inject_missingness_low,inject_missingness,low,0.2,0.3950983593690707,CONDITIONAL,False,0.270760576350484,0.195110640159593,1.0,0.0,0.5786722152961226,1.83845009,0.6283970356281535,0.0056396539312942,9617,0.0428288932818886,15692,0.0019749811800959,35.0788493537663
nz,inject_missingness_med,inject_missingness,med,0.45,0.3943242500583948,CONDITIONAL,False,0.2681736483297264,0.2025744570500234,1.0,0.0,0.6063215277695307,1.83845009,0.6263027615930465,0.0064208876361416,7411,0.0544733681510912,12079,0.0001192928550109,71.80457692062578
nz,inject_missingness_high,inject_missingness,high,0.8,0.3707375197985745,CONDITIONAL,False,0.2366172317625522,0.2165257833168137,1.0,0.0,0.6595847996116275,2.001806331,0.6651118776284369,0.0104689434623413,3551,0.1283985922459502,7020,0.0386898231803793,304.9587269293445
nz,depth_implausible_low,depth_implausible,low,0.2,,REJECT,True,0.2729088173514837,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
nz,depth_implausible_med,depth_implausible,med,0.45,,REJECT,True,0.2729088173514837,0.1838282054596416,1.0,0.0,0.5362749497382537,1.83845009,0.6264220544480575,0.0048644753529585,12747,0.0317065872908951,20648,0.0,0.0
